Temperature,Humidity
286.91,54
296.76,33
294.71,40
301.79,32
303.78,31
299.19,31
296.67,40
297.15,36
297.15,41
299.22,27
301.69,25
299.15,27
297.23,39
287.71,44
301.93,32
302.36,50
300.08,28
296.22,36
299.08,29
296.42,33
298.15,29
297.26,41
303.15,19
291.81,52
299.82,35
301.15,28
287.69,82
296.39,38
296.79,41
284.48,76
296.48,36
307.34,16
299.79,30
297.64,33
305.37,17
297.59,33
299.7,24
289.15,67
286.69,54
291.78,45
290.51,42
286.62,54
289.25,44
291.35,42
290.53,45
289.31,39
291.77,40
290.96,36
289.64,64
297.57,31
289.28,51
290.92,48
307.67,7
290.95,36
291.9,39
289.39,42
290.63,36
291.2,42
288.87,51
292.38,52
284.24,95
290.91,42
291.42,34
285.11,87
291.17,48
298.71,59
285.36,82
298.26,69
295.67,35
301.41,39
300.07,39
296.1,36
299.41,51
300.09,42
299.14,44
299.92,51
286.63,54
299.92,51
298.15,44
299.98,48
299.35,51
298.64,53
295.15,40
300.04,51
296.2,36
299.93,56
285.55,58
292.41,72
283.72,71
281.99,87
284.9,81
284.53,90
281.89,87
285.58,87
284.66,94
286.38,54
287.22,89
286.81,58
285.34,100
289.37,77
285.61,81
300.81,5
285.73,54
287.63,51
285.15,62
285.38,87
286.98,72
287.29,55
287.88,87
284.92,87
287.29,54
294.75,53
287.5,48
290.36,68
286.47,71
285.46,87
283.84,89
286.0,71
289.44,48
290.65,63
284.22,93
290.76,63
290.65,48
294.55,56
286.28,58
290.47,64
290.95,42
296.81,47
295.89,46
290.19,59
289.45,69
288.95,58
289.52,64
290.64,63
289.53,45
290.92,42
290.37,63
286.77,47
291.14,72
290.39,55
284.38,87
290.85,42
290.64,63
290.3,59
300.79,7
287.63,82
287.13,87
299.43,13
286.61,85
287.25,44
283.91,87
299.24,31
288.24,52
287.96,87
288.73,67
285.21,89
287.39,87
287.82,82
285.19,87
285.19,88
287.38,87
287.63,82
286.28,58
297.0,64
290.87,88
285.72,88
285.03,76
289.8,59
286.84,62
287.18,81
307.11,16
287.14,82
285.25,93
287.87,82
288.61,67
287.34,82
287.99,67
288.7,72
291.91,74
288.86,77
288.35,89
285.54,93
288.33,63
287.84,85
283.71,90
288.3,76
288.94,25
289.47,72
285.57,82
286.8,83
287.28,82
289.82,59
288.57,67
285.55,87
298.15,29
287.98,72
288.12,63
289.39,42
287.93,72
289.76,59
287.46,82
287.62,82
287.15,82
293.71,40
300.88,29
295.17,38
287.5,82
287.88,82
289.05,75
286.52,83
287.69,82
287.45,72
289.22,86
291.77,67
287.41,87
287.07,82
288.25,51
288.23,82
287.57,77
287.32,87
292.0,49
287.51,82
296.38,84
289.19,27
287.64,82
287.66,82
289.52,59
293.6,35
296.91,53
287.29,87
287.04,85
283.38,57
284.82,93
287.83,72
285.65,93
287.61,82
287.76,88
287.78,72
287.59,86
287.55,88
289.94,72
289.78,72
287.2,87
296.48,35
290.77,69
287.73,82
288.78,72
287.09,71
286.15,49
287.27,50
281.04,87
286.93,47
287.89,47
287.59,38
289.06,38
286.62,47
286.15,50
286.93,50
286.7,50
287.1,54
286.84,54
286.42,47
287.17,54
287.03,50
286.21,62
286.55,47
287.36,44
287.68,47
285.91,50
287.17,54
287.83,47
289.04,29
287.49,47
291.01,39
287.64,41
288.26,41
289.0,45
288.33,59
302.55,24
287.68,47
286.49,50
286.86,47
285.94,50
286.77,54
286.69,44
288.28,59
286.33,54
306.15,15
286.63,54
287.06,58
293.76,72
287.73,44
289.63,27
286.37,54
286.71,47
285.96,58
286.81,47
287.82,47
286.73,54
296.84,33
285.83,58
287.92,41
290.94,55
288.8,51
296.66,33
287.0,47
293.63,40
295.05,37
298.26,69
302.25,39
289.74,59
294.17,37
293.2,40
293.25,46
291.66,42
285.41,82
287.99,67
294.08,40
294.13,56
285.21,80
288.15,62
286.57,67
291.32,42
294.85,37
293.98,37
295.06,38
296.02,33
294.27,35
294.39,40
295.87,40
294.32,33
286.66,54
295.12,37
294.23,37
294.13,40
294.25,33
298.24,30
291.26,48
295.84,33
293.15,42
295.3,53
300.27,37
300.02,44
297.0,64
294.46,30
296.81,47
286.56,58
295.89,88
293.89,56
295.76,60
285.14,71
299.72,42
298.92,39
293.04,65
302.55,24
290.37,63
299.24,15
297.66,47
300.15,44
284.0,87
299.76,42
300.15,42
291.55,52
296.91,47
294.93,52
294.94,43
297.15,47
295.51,53
295.73,53
294.04,37
294.05,44
293.86,37
291.56,34
294.15,64
288.54,47
296.22,47
296.81,47
295.65,33
291.74,29
291.66,31
297.4,41
291.58,46
296.22,36
293.36,35
297.08,31
296.42,33
292.13,45
295.44,49
292.81,40
289.39,42
292.41,43
299.15,83
295.61,31
295.93,43
292.41,30
292.37,37
291.96,30
296.84,33
291.61,24
291.71,35
296.38,84
294.22,37
293.6,35
294.99,37
291.37,37
293.71,97
293.95,22
299.07,15
294.87,17
307.63,15
294.78,60
297.09,22
294.99,26
297.76,17
285.15,93
297.71,16
295.95,27
288.68,55
281.95,100
295.15,33
296.58,27
301.91,5
301.15,20
299.68,32
292.25,63
296.32,27
286.56,58
302.6,64
301.18,21
285.21,80
302.56,20
299.11,31
304.53,10
284.41,81
299.15,29
287.55,88
302.15,13
298.64,29
298.45,31
301.91,18
289.31,87
300.15,8
308.52,7
302.23,5
300.88,6
285.41,82
301.31,10
288.92,72
301.15,5
307.67,7
307.48,5
307.33,5
301.23,7
301.39,7
301.91,5
302.15,8
287.71,62
284.34,81
308.15,10
307.11,16
281.7,93
290.15,59
291.45,61
285.03,100
286.31,58
285.31,81
298.32,49
288.18,72
287.21,62
292.81,40
284.24,93
287.72,72
285.1,87
288.23,82
286.72,84
286.66,54
296.38,84
287.28,67
290.94,55
290.65,72
291.05,72
285.41,87
291.68,52
291.13,55
290.8,72
291.48,59
290.54,68
299.78,19
291.04,68
291.37,68
291.56,52
291.44,48
291.77,52
291.06,48
291.45,48
300.31,8
291.6,59
290.34,71
291.57,52
291.45,52
291.68,59
291.68,52
291.64,52
290.45,68
300.42,6
303.21,24
290.74,72
293.45,43
291.06,48
291.48,48
291.41,59
291.63,42
291.99,52
295.19,46
284.25,68
291.42,52
291.63,52
291.14,72
305.44,33
290.08,62
291.19,52
291.27,48
291.31,48
301.82,70
290.83,52
288.88,31
291.32,63
296.38,84
287.66,82
291.19,52
290.94,55
291.38,48
302.89,44
291.66,59
287.12,47
291.66,59
291.63,59
291.74,42
290.91,68
291.5,48
299.84,12
300.21,11
302.89,8
305.06,24
297.15,64
303.71,42
307.0,22
307.15,6
300.81,5
300.35,4
301.15,5
306.17,7
305.53,6
307.48,5
298.54,9
306.19,7
304.23,10
300.65,5
297.52,47
288.71,56
300.61,5
301.3,7
306.07,9
297.7,9
305.43,8
305.15,11
291.71,59
288.4,77
285.64,93
292.41,72
290.11,63
288.87,31
290.12,55
285.21,89
286.57,70
291.49,59
291.48,72
285.82,62
284.71,62
285.53,62
286.84,62
288.61,69
291.34,72
285.99,80
284.3,7
285.29,66
289.13,36
287.24,86
285.29,60
291.95,68
291.23,48
284.5,81
287.08,93
287.8,47
285.53,62
287.18,47
288.86,31
288.93,63
286.63,76
290.72,72
285.19,7
296.95,60
290.35,72
285.91,86
291.64,52
289.03,51
297.87,16
296.95,88
286.14,71
284.79,62
284.38,62
299.3,78
285.65,62
285.11,76
290.86,55
289.54,36
290.75,74
291.59,59
285.21,71
288.91,44
290.45,72
291.31,48
289.76,74
290.97,48
289.94,55
291.6,59
290.07,55
286.69,66
290.27,70
285.16,87
283.88,66
285.71,76
285.46,82
289.81,76
285.83,76
290.28,80
293.37,45
289.06,76
288.39,72
290.82,48
283.36,90
290.63,52
291.05,48
288.27,75
286.66,54
295.81,38
286.15,93
290.48,72
288.9,82
285.21,76
288.47,76
290.72,32
288.43,63
285.88,80
284.43,90
291.48,48
289.38,77
289.57,70
295.38,88
290.31,73
288.45,81
285.94,62
286.47,60
285.03,76
287.61,82
288.52,81
285.46,70
285.66,62
290.4,32
284.78,66
291.28,52
293.99,53
291.98,49
291.77,56
284.53,90
298.15,94
292.08,47
290.54,68
291.58,72
294.64,46
307.11,16
291.45,61
293.53,77
293.46,56
295.37,46
293.76,59
294.66,53
291.03,52
293.89,56
284.99,93
307.97,7
293.15,52
291.65,52
298.32,49
296.12,94
294.44,53
292.23,63
296.02,49
294.31,56
293.92,64
292.24,63
294.18,60
293.59,53
292.57,46
293.86,49
284.38,87
291.66,39
299.58,28
294.46,56
292.0,40
292.26,52
293.73,38
293.38,40
293.15,32
299.21,47
295.06,38
295.03,28
284.79,62
293.61,40
293.3,22
284.34,92
293.15,37
294.09,56
294.07,34
285.59,62
286.09,50
285.93,65
287.06,62
297.02,88
290.79,93
285.21,88
286.87,58
290.55,48
296.99,64
288.54,47
288.94,42
286.53,50
286.21,66
286.56,58
285.9,62
285.83,74
288.21,47
287.69,44
289.92,59
286.23,50
287.02,51
286.85,44
285.83,66
287.83,47
296.63,88
293.89,56
289.1,42
285.56,73
288.2,48
300.42,6
288.8,59
290.48,77
286.98,44
284.58,94
297.25,44
289.13,41
287.48,50
285.95,66
285.45,62
288.91,44
285.88,100
291.31,48
285.53,62
291.63,52
289.63,27
288.94,42
305.44,19
286.89,44
285.59,62
286.59,63
287.56,68
286.72,84
287.48,50
296.2,85
287.65,60
286.14,66
293.65,35
286.84,50
286.77,67
288.42,51
290.03,33
288.8,51
285.65,54
286.05,66
287.31,50
287.26,50
287.13,50
285.94,71
297.27,38
298.2,19
301.15,30
282.35,95
298.57,39
296.49,38
296.48,48
295.38,56
296.86,45
296.37,30
286.42,62
297.27,38
298.12,41
296.97,47
297.46,43
297.78,36
299.77,34
299.78,34
296.75,68
289.91,45
297.34,33
305.15,14
280.4,70
295.98,46
293.46,49
299.66,39
295.82,43
302.84,66
296.91,38
296.89,38
294.95,46
296.94,38
297.42,36
297.15,41
296.3,43
296.69,41
290.64,48
298.55,31
295.7,30
295.16,28
297.24,34
297.39,34
299.73,88
297.64,33
298.24,30
294.21,46
297.46,36
296.1,44
296.39,33
296.06,46
301.55,30
297.79,13
288.4,77
286.0,58
294.06,64
298.26,21
295.09,56
300.1,17
294.26,46
298.67,16
296.24,77
294.94,56
293.41,64
300.2,26
295.87,56
299.25,38
296.23,94
300.93,18
298.18,23
297.79,29
294.79,56
285.04,76
295.54,56
302.19,24
295.32,56
284.27,95
308.39,7
294.75,56
299.13,29
291.46,77
295.02,56
301.01,15
292.14,72
292.92,68
297.55,47
296.2,85
295.01,77
293.65,35
298.93,34
294.05,64
288.41,67
286.9,87
287.34,54
289.02,63
286.6,67
286.75,54
285.21,88
297.15,94
287.7,82
284.23,93
287.4,82
291.06,29
289.04,61
287.19,45
287.85,72
295.93,50
289.98,59
285.43,62
286.31,58
289.53,55
288.1,64
287.04,58
285.31,81
292.15,39
288.53,67
285.94,71
288.69,67
302.25,70
285.74,85
289.17,44
286.22,54
287.45,72
284.22,62
288.56,59
292.81,40
290.86,55
287.82,55
286.48,83
286.96,54
286.02,54
288.91,44
286.35,54
286.72,84
285.9,62
293.91,35
286.06,69
289.75,63
285.15,71
291.2,52
289.21,59
287.24,54
287.98,59
285.04,92
283.59,87
286.58,63
287.36,83
286.06,50
286.64,54
287.25,73
281.91,57
290.12,52
287.26,72
299.93,83
284.57,59
288.19,51
299.58,28
288.46,63
286.64,63
287.88,67
288.93,61
288.08,87
287.72,85
287.4,82
287.59,87
287.82,87
288.35,72
287.71,87
299.3,78
288.91,44
288.51,67
284.27,95
288.42,67
287.59,87
286.72,84
287.67,87
287.81,91
284.73,100
288.19,51
287.92,99
289.05,72
285.88,82
287.55,87
296.07,50
285.36,81
296.35,50
294.77,49
298.15,94
291.04,68
293.88,64
295.93,50
283.98,83
286.9,82
294.18,49
298.15,94
293.53,56
294.24,60
295.57,49
288.56,59
293.76,72
294.11,64
295.53,49
293.96,49
295.3,49
299.47,87
291.38,48
297.28,31
283.67,100
293.02,42
294.26,46
296.99,64
297.5,23
295.09,36
291.59,42
293.12,43
286.29,65
291.57,42
293.45,43
296.04,40
296.15,38
297.15,27
297.25,31
294.75,33
296.93,31
292.0,42
287.64,44
297.64,33
287.32,82
297.15,33
291.4,49
291.0,43
297.02,88
293.9,38
291.85,42
286.36,50
295.93,50
292.26,42
288.21,47
289.03,48
285.76,58
295.46,17
290.53,49
290.26,45
301.6,24
290.27,48
290.35,45
290.07,45
291.82,60
293.18,40
290.97,43
293.54,32
291.99,52
291.94,45
291.94,39
290.94,55
291.7,43
292.86,49
293.71,52
303.15,27
303.86,31
308.23,13
305.12,15
299.12,31
302.21,42
300.43,60
299.32,54
305.73,19
284.64,88
302.15,54
301.43,37
305.58,15
299.92,39
301.58,35
301.3,61
305.15,24
298.8,36
305.72,27
296.5,41
298.79,36
305.93,22
281.74,100
305.26,9
299.3,36
290.28,72
298.49,61
298.53,41
303.45,43
293.53,56
302.11,62
301.54,42
294.49,43
298.97,36
290.27,48
296.34,41
300.56,44
303.51,45
306.15,27
295.61,41
305.77,18
299.13,36
292.88,53
304.8,36
297.72,41
298.9,31
306.15,15
304.8,36
297.96,41
303.79,35
293.15,82
304.62,33
305.15,17
285.37,87
299.97,48
308.15,11
304.77,36
290.05,81
298.35,33
281.15,87
303.03,38
298.64,33
303.94,25
304.39,33
297.53,90
304.56,30
296.65,41
302.08,66
300.76,44
294.42,43
298.66,61
296.83,36
304.98,25
296.69,85
300.45,39
298.84,48
299.98,39
305.88,9
300.0,8
277.15,86
299.01,17
298.53,19
297.36,9
302.15,3
284.79,71
297.28,95
292.15,39
296.15,11
296.47,8
303.64,5
298.38,14
298.95,21
297.7,16
300.0,8
300.84,8
294.51,40
298.64,15
299.54,24
298.3,10
299.26,17
297.15,5
288.28,49
299.04,27
300.15,8
299.19,27
305.88,5
298.69,14
299.25,27
299.14,27
296.55,33
296.83,12
286.66,71
286.92,71
286.92,77
286.61,72
286.31,56
290.12,68
291.33,52
284.24,93
287.81,67
286.97,71
284.27,95
287.55,82
288.14,59
284.36,87
287.88,59
286.06,50
287.44,55
290.53,48
284.09,87
298.26,69
287.4,82
289.17,52
291.73,63
291.27,42
289.33,51
289.67,48
290.05,55
291.45,68
285.09,81
289.68,73
288.94,48
289.62,42
289.12,62
292.61,52
286.82,54
291.55,68
287.03,87
290.26,59
286.72,85
289.1,51
290.52,48
291.34,42
287.15,54
289.0,72
291.5,66
287.29,54
291.26,63
284.51,87
299.58,28
283.67,100
288.34,87
292.81,75
292.14,63
290.2,72
291.73,68
293.43,60
298.71,27
286.55,87
298.89,26
288.03,59
291.7,72
292.49,68
295.03,56
300.05,26
295.61,41
299.15,29
286.52,87
292.44,63
301.41,82
289.77,82
286.93,100
296.28,28
292.2,77
292.14,72
292.42,68
285.8,58
292.03,63
296.64,27
291.32,77
290.26,82
299.61,27
299.57,29
300.09,21
285.37,76
284.4,90
286.15,62
286.67,54
284.22,66
287.87,45
293.82,64
285.25,62
284.32,58
285.94,62
286.7,71
288.04,67
295.87,56
289.97,48
288.82,51
284.99,58
292.44,52
297.7,16
288.86,45
285.56,54
285.75,50
285.06,74
286.9,51
285.08,62
290.22,72
301.4,70
287.08,58
289.31,45
286.79,51
285.05,62
286.35,50
286.63,76
286.94,50
303.06,76
288.86,29
287.15,54
301.24,42
289.83,42
288.47,25
286.0,58
288.98,41
299.07,57
289.35,25
292.25,34
289.78,62
288.84,36
301.28,44
289.11,25
289.54,61
292.87,32
289.0,59
293.65,43
286.87,58
287.43,54
288.41,25
289.17,29
288.49,25
289.15,62
287.76,41
289.36,36
287.48,54
285.67,54
291.53,36
289.81,62
288.4,41
285.04,87
288.0,41
289.24,39
289.43,41
286.15,54
291.53,45
288.6,30
289.15,44
288.94,25
288.99,25
288.15,33
289.31,41
294.26,18
285.63,62
295.67,21
294.21,18
295.6,18
298.12,31
289.34,27
293.28,28
296.15,11
301.6,24
295.48,15
293.58,9
291.13,82
285.12,66
295.25,11
298.66,15
296.15,11
296.38,25
295.37,22
296.77,18
288.3,61
296.5,18
